2020-04-10 14:33:40.412[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-10 14:33:40.449[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@db57326, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@34a875b3, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4748a0f9, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4b14918a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6d1ef78d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1a6c1270, org.springframework.test.context.event.EventPublishingTestExecutionListener@18a136ac, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@77d67cf3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6dee4f1b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@176b3f44, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6ee6f53, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@421bba99]
2020-04-10 14:33:41.090[main][main] INFO  c.m.g.demo.mapper.UserMapperTest - Starting UserMapperTest on DESKTOP-7FGB2I0 with PID 5436 (started by Asus in E:\java\mybatis-generator-demo)
2020-04-10 14:33:41.090[main][main] INFO  c.m.g.demo.mapper.UserMapperTest - No active profile set, falling back to default profiles: default
2020-04-10 14:33:41.651[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-10 14:33:42.002[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-10 14:33:42.258[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-04-10 14:33:42.594[main][main] INFO  c.m.g.demo.mapper.UserMapperTest - Started UserMapperTest in 2.053 seconds (JVM running for 5.675)
2020-04-10 14:33:43.138[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-10 14:33:43.169[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
